Order ID,Date,Customer ID,Gender,Age,Product Category,Payment Method,City,Store Type,Quantity,Price per Unit,Total Amount,Delivery Status,High Value Order
530,05-02-23,CUST530,Female,18,Electronics,Debit Card,Dallas,Pharmacy,4,30,120,Completed,No
195,05-02-23,CUST195,Male,52,Clothing,Cash,Houston,Pharmacy,1,30,30,Pending,No
740,05-02-23,CUST740,Female,25,Beauty,Debit Card,Miami,Department Store,4,50,200,Completed,No
490,05-02-23,CUST490,Male,34,Clothing,Mobile Payment,New York,Supermarket,3,50,150,Pending,No
85,06-02-23,CUST085,Male,31,Clothing,Mobile Payment,Chicago,Supermarket,3,50,150,Pending,No
240,06-02-23,CUST240,Female,23,Beauty,Mobile Payment,Chicago,Warehouse Club,1,300,300,Completed,No
993,06-02-23,CUST993,Female,48,Electronics,Credit Card,Miami,Specialty Store,3,50,150,Completed,No
232,06-02-23,CUST232,Female,43,Beauty,Cash,San Francisco,Warehouse Club,1,25,25,Completed,No
366,07-02-23,CUST366,Male,57,Clothing,Mobile Payment,Boston,Supermarket,2,50,100,Pending,No
372,07-02-23,CUST372,Female,24,Beauty,Debit Card,Chicago,Department Store,3,500,1500,Completed,Yes
936,07-02-23,CUST936,Male,57,Beauty,Credit Card,Chicago,Department Store,4,50,200,Completed,No
596,07-02-23,CUST596,Female,64,Electronics,Credit Card,New York,Warehouse Club,1,300,300,Completed,No
434,08-02-23,CUST434,Female,43,Electronics,Cash,Atlanta,Supermarket,2,25,50,Completed,No
775,08-02-23,CUST775,Female,46,Electronics,Credit Card,Houston,Convenience Store,4,25,100,Completed,No
977,08-02-23,CUST977,Female,35,Electronics,Cash,San Francisco,Department Store,3,25,75,Completed,No
284,08-02-23,CUST284,Male,43,Clothing,Credit Card,Seattle,Pharmacy,4,50,200,Pending,No
649,09-02-23,CUST649,Female,58,Clothing,Mobile Payment,Dallas,Convenience Store,2,300,600,Pending,Yes
54,10-02-23,CUST054,Female,38,Electronics,Cash,Houston,Warehouse Club,3,500,1500,Completed,Yes
68,10-02-23,CUST068,Male,25,Electronics,Mobile Payment,Miami,Specialty Store,1,300,300,Completed,No
192,10-02-23,CUST192,Male,62,Beauty,Debit Card,San Francisco,Specialty Store,2,50,100,Completed,No
657,11-02-23,CUST657,Male,40,Clothing,Credit Card,Atlanta,Department Store,1,25,25,Pending,No
972,11-02-23,CUST972,Male,49,Beauty,Credit Card,Atlanta,Convenience Store,4,25,100,Completed,No
346,11-02-23,CUST346,Male,59,Clothing,Mobile Payment,Houston,Department Store,2,500,1000,Pending,Yes
331,11-02-23,CUST331,Male,28,Electronics,Cash,New York,Convenience Store,3,30,90,Completed,No
732,11-02-23,CUST732,Male,61,Electronics,Debit Card,San Francisco,Department Store,2,500,1000,Completed,Yes
714,12-02-23,CUST714,Female,18,Clothing,Cash,Chicago,Convenience Store,1,500,500,Pending,No
577,13-02-23,CUST577,Male,21,Beauty,Credit Card,Boston,Convenience Store,4,500,2000,Completed,Yes
193,13-02-23,CUST193,Male,35,Beauty,Debit Card,Houston,Warehouse Club,3,500,1500,Completed,Yes
848,13-02-23,CUST848,Female,63,Clothing,Cash,Houston,Specialty Store,3,25,75,Pending,No
945,13-02-23,CUST945,Male,30,Beauty,Debit Card,Los Angeles,Specialty Store,1,25,25,Completed,No
821,14-02-23,CUST821,Male,49,Electronics,Cash,Atlanta,Warehouse Club,1,300,300,Completed,No
11,14-02-23,CUST011,Male,23,Clothing,Debit Card,Boston,Department Store,2,50,100,Pending,No
133,16-02-23,CUST133,Male,20,Electronics,Mobile Payment,Atlanta,Convenience Store,3,300,900,Completed,Yes
416,17-02-23,CUST416,Male,53,Electronics,Debit Card,Chicago,Supermarket,4,500,2000,Completed,Yes
42,17-02-23,CUST042,Male,22,Clothing,Debit Card,Miami,Specialty Store,3,300,900,Pending,Yes
16,17-02-23,CUST016,Male,19,Clothing,Mobile Payment,San Francisco,Convenience Store,3,500,1500,Pending,Yes
292,17-02-23,CUST292,Male,20,Beauty,Mobile Payment,San Francisco,Supermarket,4,300,1200,Completed,Yes
861,17-02-23,CUST861,Female,41,Clothing,Debit Card,San Francisco,Department Store,3,30,90,Pending,No
584,17-02-23,CUST584,Female,27,Beauty,Cash,Seattle,Supermarket,4,50,200,Completed,No
256,18-02-23,CUST256,Male,23,Clothing,Mobile Payment,Seattle,Convenience Store,2,500,1000,Pending,Yes
44,19-02-23,CUST044,Female,22,Clothing,Cash,Atlanta,Specialty Store,1,25,25,Pending,No
257,19-02-23,CUST257,Male,19,Beauty,Debit Card,Boston,Convenience Store,4,500,2000,Completed,Yes
966,20-02-23,CUST966,Male,60,Electronics,Mobile Payment,Dallas,Warehouse Club,2,500,1000,Completed,Yes
268,20-02-23,CUST268,Female,28,Electronics,Debit Card,New York,Department Store,1,30,30,Completed,No
287,20-02-23,CUST287,Male,54,Clothing,Mobile Payment,New York,Specialty Store,4,25,100,Pending,No
371,21-02-23,CUST371,Female,20,Beauty,Cash,Chicago,Convenience Store,1,25,25,Completed,No
900,21-02-23,CUST900,Male,21,Clothing,Cash,Los Angeles,Supermarket,2,30,60,Pending,No
70,21-02-23,CUST070,Female,43,Clothing,Cash,Seattle,Warehouse Club,1,300,300,Pending,No
41,22-02-23,CUST041,Male,34,Clothing,Credit Card,Atlanta,Department Store,2,25,50,Pending,No
8,22-02-23,CUST008,Male,30,Electronics,Debit Card,Chicago,Specialty Store,10,25,250,Completed,No
454,22-02-23,CUST454,Female,46,Beauty,Cash,Los Angeles,Supermarket,1,25,25,Completed,No
780,22-02-23,CUST780,Male,52,Electronics,Debit Card,Los Angeles,Specialty Store,2,25,50,Completed,No
920,22-02-23,CUST920,Female,28,Beauty,Cash,San Francisco,Department Store,3,25,75,Completed,No
396,23-02-23,CUST396,Female,55,Beauty,Mobile Payment,San Francisco,Pharmacy,1,30,30,Completed,No
400,24-02-23,CUST400,Male,53,Clothing,Cash,Dallas,Pharmacy,4,50,200,Pending,No
168,24-02-23,CUST168,Male,53,Clothing,Cash,Los Angeles,Specialty Store,1,300,300,Pending,No
800,24-02-23,CUST800,Male,32,Clothing,Mobile Payment,Los Angeles,Convenience Store,4,300,1200,Pending,Yes
611,24-02-23,CUST611,Male,51,Beauty,Debit Card,New York,Supermarket,3,500,1500,Completed,Yes
506,25-02-23,CUST506,Male,34,Beauty,Cash,Boston,Supermarket,3,500,1500,Completed,Yes
473,25-02-23,CUST473,Male,64,Beauty,Credit Card,Dallas,Pharmacy,1,50,50,Completed,No
766,25-02-23,CUST766,Male,38,Electronics,Cash,Dallas,Department Store,3,300,900,Completed,Yes
272,25-02-23,CUST272,Female,61,Electronics,Credit Card,Los Angeles,Convenience Store,2,50,100,Completed,No
135,26-02-23,CUST135,Male,20,Clothing,Mobile Payment,Atlanta,Department Store,2,25,50,Pending,No
185,27-02-23,CUST185,Male,24,Clothing,Mobile Payment,Atlanta,Warehouse Club,1,25,25,Pending,No
433,27-02-23,CUST433,Male,29,Beauty,Mobile Payment,Los Angeles,Department Store,4,50,200,Completed,No
2,27-02-23,CUST002,Female,26,Clothing,Cash,San Francisco,Specialty Store,2,500,1000,Pending,Yes
158,27-02-23,CUST158,Female,44,Electronics,Mobile Payment,San Francisco,Warehouse Club,2,300,600,Completed,Yes
753,28-02-23,CUST753,Female,32,Clothing,Debit Card,Boston,Specialty Store,1,30,30,Pending,No
932,28-02-23,CUST932,Female,45,Beauty,Mobile Payment,Houston,Supermarket,4,25,100,Completed,No
763,28-02-23,CUST763,Male,34,Clothing,Mobile Payment,New York,Specialty Store,2,25,50,Pending,No
152,28-02-23,CUST152,Male,43,Electronics,Debit Card,San Francisco,Department Store,4,500,2000,Completed,Yes
514,01-03-23,CUST514,Female,18,Electronics,Credit Card,Chicago,Warehouse Club,1,300,300,Completed,No
399,01-03-23,CUST399,Female,64,Beauty,Debit Card,Dallas,Department Store,2,30,60,Completed,No
500,01-03-23,CUST500,Female,60,Beauty,Cash,Seattle,Warehouse Club,4,25,100,Completed,No
947,02-03-23,CUST947,Male,50,Beauty,Credit Card,Miami,Specialty Store,1,300,300,Completed,No
785,03-03-23,CUST785,Female,31,Beauty,Credit Card,Atlanta,Pharmacy,4,50,200,Completed,No
339,03-03-23,CUST339,Female,22,Electronics,Debit Card,Chicago,Warehouse Club,2,25,50,Completed,No
885,03-03-23,CUST885,Female,52,Clothing,Mobile Payment,Los Angeles,Specialty Store,4,30,120,Pending,No
220,03-03-23,CUST220,Male,64,Beauty,Mobile Payment,New York,Department Store,1,500,500,Completed,No
888,03-03-23,CUST888,Female,52,Electronics,Credit Card,New York,Supermarket,4,25,100,Completed,No
621,04-03-23,CUST621,Female,40,Beauty,Cash,Boston,Pharmacy,2,500,1000,Completed,Yes
536,05-03-23,CUST536,Female,55,Beauty,Mobile Payment,Los Angeles,Department Store,4,30,120,Completed,No
52,05-03-23,CUST052,Female,36,Beauty,Mobile Payment,Miami,Pharmacy,1,300,300,Completed,No
197,06-03-23,CUST197,Female,42,Clothing,Cash,Dallas,Department Store,4,50,200,Pending,No
910,06-03-23,CUST910,Female,20,Beauty,Cash,Houston,Pharmacy,9,50,450,Completed,No
917,06-03-23,CUST917,Female,57,Electronics,Debit Card,Houston,Supermarket,4,50,200,Completed,No
750,06-03-23,CUST750,Female,35,Clothing,Debit Card,Seattle,Department Store,3,25,75,Pending,No
705,07-03-23,CUST705,Male,60,Electronics,Cash,Atlanta,Warehouse Club,2,25,50,Completed,No
444,07-03-23,CUST444,Female,61,Clothing,Cash,Chicago,Supermarket,3,30,90,Pending,No
547,07-03-23,CUST547,Male,63,Clothing,Credit Card,Chicago,Pharmacy,4,500,2000,Pending,Yes
198,07-03-23,CUST198,Female,54,Beauty,Cash,Miami,Pharmacy,3,300,900,Completed,Yes
423,08-03-23,CUST423,Female,27,Clothing,Cash,Dallas,Department Store,1,25,25,Pending,No
360,09-03-23,CUST360,Male,42,Clothing,Mobile Payment,Boston,Department Store,4,25,100,Pending,No
248,09-03-23,CUST248,Male,26,Clothing,Debit Card,Houston,Specialty Store,3,300,900,Pending,Yes
377,09-03-23,CUST377,Female,46,Clothing,Mobile Payment,San Francisco,Specialty Store,5,50,250,Pending,No
397,10-03-23,CUST397,Female,30,Beauty,Debit Card,Seattle,Supermarket,1,25,25,Completed,No
623,10-03-23,CUST623,Male,34,Clothing,Cash,Seattle,Pharmacy,3,50,150,Pending,No
717,11-03-23,CUST717,Male,57,Clothing,Debit Card,Boston,Specialty Store,1,500,500,Pending,No
658,12-03-23,CUST658,Male,59,Clothing,Mobile Payment,Dallas,Warehouse Club,1,25,25,Pending,No
130,12-03-23,CUST130,Female,57,Clothing,Mobile Payment,Houston,Supermarket,1,500,500,Pending,No
7,13-03-23,CUST007,Male,46,Clothing,Cash,Boston,Specialty Store,2,25,50,Pending,No
278,13-03-23,CUST278,Female,37,Clothing,Debit Card,Miami,Supermarket,4,25,100,Pending,No
119,13-03-23,CUST119,Female,60,Clothing,Credit Card,Seattle,Specialty Store,3,50,150,Pending,No
117,15-03-23,CUST117,Male,19,Electronics,Mobile Payment,San Francisco,Pharmacy,2,500,1000,Completed,Yes
442,17-03-23,CUST442,Female,60,Clothing,Mobile Payment,Atlanta,Convenience Store,4,25,100,Pending,No
590,17-03-23,CUST590,Male,36,Clothing,Credit Card,Houston,Convenience Store,3,300,900,Pending,Yes
607,17-03-23,CUST607,Male,54,Clothing,Mobile Payment,Houston,Department Store,3,25,75,Pending,No
942,18-03-23,CUST942,Male,51,Clothing,Mobile Payment,Los Angeles,Warehouse Club,3,500,1500,Pending,Yes
436,18-03-23,CUST436,Female,57,Clothing,Mobile Payment,Miami,Department Store,4,30,120,Pending,No
941,19-03-23,CUST941,Female,57,Clothing,Debit Card,Los Angeles,Convenience Store,2,25,50,Pending,No
659,19-03-23,CUST659,Female,39,Electronics,Cash,New York,Supermarket,1,30,30,Completed,No
806,20-03-23,CUST806,Female,35,Beauty,Debit Card,Atlanta,Supermarket,3,300,900,Completed,Yes
748,20-03-23,CUST748,Male,25,Clothing,Debit Card,Boston,Department Store,3,50,150,Pending,No
663,20-03-23,CUST663,Male,23,Clothing,Mobile Payment,Miami,Pharmacy,4,300,1200,Pending,Yes
136,20-03-23,CUST136,Male,44,Electronics,Mobile Payment,Seattle,Specialty Store,2,300,600,Completed,Yes
175,20-03-23,CUST175,Female,31,Electronics,Cash,Seattle,Convenience Store,4,25,100,Completed,No
313,21-03-23,CUST313,Female,55,Beauty,Debit Card,Atlanta,Warehouse Club,3,500,1500,Completed,Yes
38,21-03-23,CUST038,Male,38,Beauty,Mobile Payment,Los Angeles,Warehouse Club,10,50,500,Completed,No
402,21-03-23,CUST402,Female,41,Clothing,Credit Card,San Francisco,Supermarket,2,300,600,Pending,Yes
459,21-03-23,CUST459,Male,28,Clothing,Mobile Payment,San Francisco,Supermarket,4,300,1200,Pending,Yes
328,22-03-23,CUST328,Male,39,Beauty,Mobile Payment,Atlanta,Pharmacy,2,50,100,Completed,No
383,22-03-23,CUST383,Female,46,Beauty,Debit Card,Boston,Supermarket,3,30,90,Completed,No
978,22-03-23,CUST978,Female,53,Clothing,Credit Card,Chicago,Specialty Store,3,50,150,Pending,No
973,22-03-23,CUST973,Male,60,Clothing,Debit Card,Houston,Specialty Store,1,50,50,Pending,No
161,22-03-23,CUST161,Male,64,Beauty,Mobile Payment,New York,Supermarket,2,500,1000,Completed,Yes
33,23-03-23,CUST033,Female,50,Electronics,Debit Card,Chicago,Supermarket,2,50,100,Completed,No
138,23-03-23,CUST138,Male,49,Clothing,Mobile Payment,Chicago,Specialty Store,4,50,200,Pending,No
471,23-03-23,CUST471,Male,32,Clothing,Debit Card,Chicago,Warehouse Club,3,50,150,Pending,No
636,23-03-23,CUST636,Female,21,Beauty,Mobile Payment,Dallas,Specialty Store,3,500,1500,Completed,Yes
426,24-03-23,CUST426,Male,23,Electronics,Mobile Payment,Dallas,Pharmacy,3,50,150,Completed,No
177,24-03-23,CUST177,Male,45,Beauty,Debit Card,Seattle,Warehouse Club,2,50,100,Completed,No
461,25-03-23,CUST461,Female,18,Beauty,Mobile Payment,Boston,Supermarket,2,500,1000,Completed,Yes
91,25-03-23,CUST091,Female,55,Electronics,Debit Card,Los Angeles,Convenience Store,1,500,500,Completed,No
76,25-03-23,CUST076,Female,22,Electronics,Debit Card,Seattle,Convenience Store,2,50,100,Completed,No
764,25-03-23,CUST764,Female,40,Clothing,Mobile Payment,Seattle,Supermarket,1,25,25,Pending,No
202,26-03-23,CUST202,Female,34,Clothing,Debit Card,Houston,Pharmacy,6,300,1800,Pending,Yes
703,26-03-23,CUST703,Male,34,Electronics,Mobile Payment,New York,Warehouse Club,2,50,100,Completed,No
301,26-03-23,CUST301,Male,30,Clothing,Mobile Payment,San Francisco,Convenience Store,7,30,210,Pending,No
294,27-03-23,CUST294,Female,23,Clothing,Credit Card,Chicago,Department Store,3,30,90,Pending,No
760,27-03-23,CUST760,Male,27,Beauty,Credit Card,Seattle,Warehouse Club,1,500,500,Completed,No
575,28-03-23,CUST575,Male,60,Clothing,Cash,New York,Specialty Store,2,50,100,Pending,No
88,29-03-23,CUST088,Male,56,Clothing,Cash,Chicago,Specialty Store,1,500,500,Pending,No
975,30-03-23,CUST975,Female,56,Clothing,Mobile Payment,Miami,Pharmacy,4,50,200,Pending,No
553,31-03-23,CUST553,Male,24,Clothing,Debit Card,Atlanta,Department Store,4,300,1200,Pending,Yes
462,01-04-23,CUST462,Male,63,Electronics,Credit Card,Los Angeles,Convenience Store,4,300,1200,Completed,Yes
614,01-04-23,CUST614,Female,39,Beauty,Debit Card,Miami,Pharmacy,4,300,1200,Completed,Yes
808,01-04-23,CUST808,Male,33,Beauty,Cash,Seattle,Pharmacy,4,500,2000,Completed,Yes
905,02-04-23,CUST905,Male,58,Beauty,Mobile Payment,Atlanta,Department Store,1,300,300,Completed,No
465,02-04-23,CUST465,Female,43,Electronics,Debit Card,Chicago,Convenience Store,3,50,150,Completed,No
166,02-04-23,CUST166,Male,34,Clothing,Mobile Payment,New York,Department Store,4,500,2000,Pending,Yes
502,02-04-23,CUST502,Male,43,Electronics,Debit Card,New York,Department Store,3,50,150,Completed,No
834,04-04-23,CUST834,Female,56,Beauty,Debit Card,Dallas,Department Store,2,30,60,Completed,No
280,04-04-23,CUST280,Female,37,Clothing,Credit Card,Los Angeles,Convenience Store,3,500,1500,Pending,Yes
719,04-04-23,CUST719,Female,42,Clothing,Debit Card,Miami,Supermarket,2,30,60,Pending,No
928,05-04-23,CUST928,Female,35,Clothing,Debit Card,Houston,Pharmacy,4,300,1200,Pending,Yes
891,05-04-23,CUST891,Male,41,Electronics,Credit Card,Los Angeles,Supermarket,9,300,2700,Completed,Yes
332,06-04-23,CUST332,Male,58,Electronics,Mobile Payment,New York,Department Store,4,300,1200,Completed,Yes
847,08-04-23,CUST847,Female,18,Electronics,Credit Card,Chicago,Department Store,4,300,1200,Completed,Yes
255,08-04-23,CUST255,Male,48,Clothing,Cash,Los Angeles,Department Store,1,30,30,Pending,No
314,08-04-23,CUST314,Male,52,Clothing,Mobile Payment,San Francisco,Supermarket,5,30,150,Pending,No
517,08-04-23,CUST517,Female,47,Clothing,Mobile Payment,San Francisco,Pharmacy,4,25,100,Pending,No
275,08-04-23,CUST275,Male,43,Clothing,Credit Card,Seattle,Supermarket,2,500,1000,Pending,Yes
886,09-04-23,CUST886,Male,37,Electronics,Debit Card,Boston,Department Store,9,300,2700,Completed,Yes
486,09-04-23,CUST486,Female,35,Electronics,Cash,Dallas,Supermarket,1,25,25,Completed,No
274,09-04-23,CUST274,Female,23,Clothing,Mobile Payment,Los Angeles,Department Store,2,500,1000,Pending,Yes
892,09-04-23,CUST892,Male,20,Electronics,Credit Card,San Francisco,Convenience Store,1,50,50,Completed,No
61,09-04-23,CUST061,Male,21,Beauty,Credit Card,Seattle,Supermarket,4,50,200,Completed,No
548,09-04-23,CUST548,Female,51,Clothing,Credit Card,Seattle,Pharmacy,2,30,60,Pending,No
